Sensor Name,entity id,entity,Upper Critical,Upper Non-Critical,Lower Non-Critical,Lower Critical
fan0_tach,0x1D,0,18150,18150,2000,1000
fan1_tach,0x1D,1,18150,18150,2000,1000
fan2_tach,0x1D,2,18150,18150,2000,1000
fan3_tach,0x1D,3,18150,18150,2000,1000
fan4_tach,0x1D,4,27500,27500,2000,1000
fan5_tach,0x1D,5,27500,27500,2000,1000
fan0_pwm,0x1D,0,-,-,-,-
fan1_pwm,0x1D,1,-,-,-,-
fan2_pwm,0x1D,2,-,-,-,-
fan3_pwm,0x1D,3,-,-,-,-
fan4_pwm,0x1D,4,-,-,-,-
fan5_pwm,0x1D,5,-,-,-,-
CPU0_VCORE0,0x3,1,2.26,2.16,0.51,0.48
CPU0_VSOC,0x3,2,1.36,1.30,0.69,0.65
CPU0_VCORE1,0x3,3,2.26,2.16,0.51,0.48
CPU0_P1V1,0x3,4,1.24,1.19,0.87,0.83
CPU0_P3V3,0x3,5,3.10,2.97,2.53,2.39
CPU0_VDDIO,0x3,6,1.36,1.30,0.83,0.78
CPU0_P1V8,0x3,7,2.03,1.94,1.66,1.57
CPU0_13V5,0x3,8,16.95,16.20,9.20,8.70
CPU1_VCORE0,0x3,9,2.26,2.16,0.51,0.48
CPU1_VSOC,0x3,10,1.36,1.30,0.69,0.65
CPU1_VCORE1,0x3,11,2.26,2.16,0.51,0.48
CPU1_P1V1,0x3,12,1.24,1.19,0.87,0.83
CPU1_P3V3,0x3,13,3.10,2.97,2.53,2.39
CPU1_VDDIO,0x3,14,1.36,1.30,0.83,0.78
CPU1_P1V8,0x3,15,2.03,1.94,1.66,1.57
CPU1_13V5,0x3,16,16.95,16.20,9.20,8.70
BMC_PV6,0x10,2,0.68,0.65,0.55,0.52
BMC_P1V0,0x10,3,1.13,1.08,0.92,0.87
BMC_P1V2,0x10,4,1.36,1.30,1.10,1.04
BMC_P1V8,0x10,5,2.03,1.94,1.66,1.57
BMC_P2V5,0x10,6,2.83,2.70,2.30,2.18
BMC_P3V3_STBY,0x10,7,3.73,3.56,3.04,2.87
P48V_VIN,0xE,2,62.00,61.00,36.80,34.80
BRICK1_P12V,0xE,3,13.56,12.96,11.04,10.44
BRICK2_P12V,0xE,4,13.56,12.96,11.04,10.44
BRICK2_P12V,0xE,4,13.56,12.96,11.04,10.44
MAIN_P3V3,0x7,2,3.73,3.56,3.04,2.87
P0_NBM_DELTA_TMV,0x3,17,-,-,-,-
P1_NBM_DELTA_TMV,0x3,18,-,-,-,-
P0_NBM_VICOR_TMV,0x3,17,-,-,-,-
P1_NBM_VICOR_TMV,0x3,18,-,-,-,-
RTC_3V,0x7,3,3.56,3.47,2.30,2.21
HOTSWAP_PIN,0xE,5,-,-,-,-
CPU0_VCORE0_POUT,0x3,19,414,362.3,NA,NA
CPU0_VSOC_POUT,0x3,20,187.2,163.8,NA,NA
CPU0_VCORE1_POUT,0x3,21,414,362.3,NA,NA
CPU0_P1V1_POUT,0x3,22,105.6,92.4,NA,NA
